run,lr,gamma,buffer,batch,tau,ef,es,ee,net,mean_reward,std_reward
1,0.001,0.99,10000,64,1.0,0.2,1.0,0.05,"[64, 64]",134.475,70.412
2,0.0005,0.99,20000,128,0.9,0.3,1.0,0.05,"[128, 128]",249.945,69.604
3,0.0001,0.95,10000,64,1.0,0.4,1.0,0.02,"[64, 64]",106.795,30.595
4,0.001,0.98,50000,256,0.5,0.2,1.0,0.01,"[256, 128]",112.965,35.038
5,0.0002,0.99,30000,128,0.8,0.5,0.8,0.05,"[128, 64]",115.75,37.839
6,0.005,0.9,10000,32,1.0,0.1,1.0,0.1,"[64, 64]",93.74,31.058
7,0.0003,0.99,20000,64,0.7,0.3,1.0,0.05,"[256, 256]",104.93,28.423
8,0.001,0.97,10000,128,0.9,0.2,1.0,0.02,"[128, 128, 64]",170.97,92.119
9,0.0001,0.99,50000,256,0.3,0.6,1.0,0.01,"[512, 256]",279.8,4.349
10,0.0007,0.98,30000,128,0.6,0.35,0.9,0.05,"[256, 128, 64]",106.21,26.18
