run,lr,gamma,ent,baseline,net,mean_reward,std_reward
1,0.001,0.99,0.01,True,"[64, 64]",247.3,0.0
2,0.0005,0.99,0.05,True,"[128, 128]",47.1,19.956
3,0.0002,0.95,0.01,False,"[64, 64]",71.605,42.237
4,0.001,0.98,0.1,True,"[256, 128]",8.55,18.597
5,0.0003,0.99,0.02,True,"[128, 64]",247.3,0.0
6,0.0007,0.9,0.0,False,"[64, 64]",247.3,0.0
7,0.0001,0.99,0.05,True,"[256, 256]",7.3,8.257
8,0.005,0.97,0.02,True,"[128, 128, 64]",13.2,20.977
9,0.0002,0.99,0.001,False,"[512, 256]",247.3,0.0
10,0.0008,0.98,0.03,True,"[256, 128, 64]",236.19,11.844
